code_du_departement;libelle_du_departement;code_de_la_circonscription;inscrits;votants;exprimes;blancs_et_nuls;nuance;voix;nuance_2;voix_2;nuance_3;voix_3;annee
2;AISNE;1;70131;42740;40464;2276;SOC;22010;DIV;18454;;;2012
2;AISNE;2;73005;46574;44881;1693;SOC;19316;UMP;25565;;;2012
2;AISNE;3;72654;44304;42256;2048;SOC;25589;UMP;16667;;;2012
2;AISNE;4;76159;45052;43335;1717;DVG;23673;UMP;19662;;;2012
2;AISNE;5;75338;42738;37823;4915;UMP;27758;FRN;10065;;;2012
59;NORD;1;58435;29655;28633;1022;PRG;16003;UMP;12630;;;2012
59;NORD;2;70938;39677;37565;2112;PRG;20501;UMP;17064;;;2012
59;NORD;3;60045;32921;31679;1242;PRG;14616;UMP;17063;;;2012
59;NORD;5;83592;50641;47942;2699;PRG;23449;UMP;24493;;;2012
59;NORD;6;76947;49871;47961;1910;PRG;20329;UMP;27632;;;2012
59;NORD;7;68409;35094;33701;1393;ECO;16510;UMP;17191;;;2012
59;NORD;8;68057;34129;32966;1163;PRG;16424;UDF;16542;;;2012
59;NORD;10;74073;40215;38658;1557;PRG;16852;UMP;21806;;;2012
59;NORD;11;84288;50028;47696;2332;PRG;24237;UMP;23459;;;2012
59;NORD;12;69727;37984;34937;3047;SOC;22426;FRN;12511;;;2012
59;NORD;13;64969;40867;38359;2508;PRG;19797;UMP;18562;;;2012
59;NORD;14;71427;48085;46095;1990;PRG;19319;UMP;26776;;;2012
59;NORD;15;71240;44896;42745;2151;PRG;21486;UMP;21259;;;2012
59;NORD;16;79861;30445;22680;7765;COM;22680;;;;;2012
59;NORD;17;73191;41677;39991;1686;PRG;23986;UMP;16005;;;2012
59;NORD;18;77646;49301;47325;1976;PRG;20888;UMP;26437;;;2012
59;NORD;19;77992;28925;20973;7952;PRG;20973;;;;;2012
59;NORD;20;80177;43705;42054;1651;COM;26904;UMP;15150;;;2012
59;NORD;21;75097;41721;40492;1229;COM;14627;UMP;25865;;;2012
59;NORD;22;74211;46818;44552;2266;SOC;23014;UDF;21538;;;2012
59;NORD;23;67110;34478;31027;3451;UMP;20099;FRN;10928;;;2012
59;NORD;24;64534;37634;35871;1763;PRG;17992;UMP;17879;;;2012
60;OISE;1;74837;46143;43468;2675;SOC;18745;UMP;24723;;;2012
60;OISE;2;79721;48148;45189;2959;SOC;20338;UMP;24851;;;2012
60;OISE;3;64490;35525;33936;1589;SOC;17137;UMP;16799;;;2012
60;OISE;4;83667;46916;45173;1743;ECO;16200;UMP;28973;;;2012
60;OISE;5;65788;38528;37253;1275;SOC;13538;UMP;23715;;;2012
60;OISE;6;69409;44311;42662;1649;COM;20881;UMP;21781;;;2012
60;OISE;7;69918;39276;37281;1995;SOC;18323;UMP;18958;;;2012
62;PAS-DE-CALAIS;1;77798;51377;48475;2902;PRG;24501;UMP;23974;;;2012
62;PAS-DE-CALAIS;2;73897;48008;45728;2280;SOC;24766;UMP;20962;;;2012
62;PAS-DE-CALAIS;3;73007;53704;51412;2292;SOC;27590;UMP;23822;;;2012
62;PAS-DE-CALAIS;4;76745;48089;45626;2463;SOC;18638;UMP;26988;;;2012
62;PAS-DE-CALAIS;5;63020;36952;34878;2074;DVG;17723;UMP;17155;;;2012
62;PAS-DE-CALAIS;6;70576;42983;41249;1734;SOC;22204;UMP;19045;;;2012
62;PAS-DE-CALAIS;7;81261;45768;43235;2533;SOC;22541;UMP;20694;;;2012
62;PAS-DE-CALAIS;8;67256;44077;42285;1792;SOC;24634;UMP;17651;;;2012
62;PAS-DE-CALAIS;9;79654;51745;48528;3217;SOC;24003;UMP;24525;;;2012
62;PAS-DE-CALAIS;10;72028;38566;35845;2721;SOC;24096;UMP;11749;;;2012
62;PAS-DE-CALAIS;11;91864;51673;46468;5205;SOC;32078;FRN;14390;;;2012
62;PAS-DE-CALAIS;12;77667;41573;37994;3579;SOC;28147;FRN;9847;;;2012
62;PAS-DE-CALAIS;13;71606;40246;37976;2270;SOC;25710;FRN;12266;;;2012
62;PAS-DE-CALAIS;14;74065;40708;37812;2896;SOC;25683;FRN;12129;;;2012
80;SOMME;1;57348;32017;30548;1469;COM;16730;UDF;13818;;;2012
80;SOMME;3;67676;48949;46502;2447;SOC;22106;UMP;24396;;;2012
80;SOMME;4;71806;47202;44870;2332;SOC;18509;UMP;26361;;;2012
80;SOMME;5;64937;40969;38843;2126;SOC;16881;UDF;21962;;;2012
80;SOMME;6;75882;50212;47862;2350;SOC;22856;UMP;25006;;;2012
