nuance,nom_parti,encodage_sans_centre,encodage_avec_centre,encodage_centre_extremes
DIV,Divers,,,
REG,Régionaliste,,,
FI,France insoumise,1,1,1
EXG,Extrême gauche,1,1,1
DXG,Divers extrême gauche,1,1,1
RDG,Parti radical de gauche (extrême gauche,1,1,1
NUP,Nouvelle union populaire écologique et sociale,1,1,1
COM,Parti communiste francais,1,1,1
FG,Front de gauche,1,1,1
ECO,Ecologistes,2,1,2
VEC,Les Ecologistes / Europe-Ecologie-Les Verts,2,1,2
DVG,Divers gauche,2,1,2
UG,Union de la gauche,2,1,2
SOC,Parti socialiste,2,1,2
UDI,Union des Démocrates et Indépendants,3,2,3
CEN,Le Centre pour la France,3,2,3
NCE,Nouveau Centre,3,2,3
REM,La république en marche,3,2,3
PRV,Parti radical,3,2,3
ALLI,Alliance Centriste,3,2,3
REN,Renaissance,3,2,3
DVC,Divers centre,3,2,3
MDM,Modem,3,2,3
ENS,Ensemble,3,2,3
HOR,Horizons,3,3,4
LR,Les Républicains,3,3,4
UMP,Union pour un Mouvement Populaire,3,3,4
DVD,Divers droite,3,3,4
DLF,Debout la France,4,3,5
UXD,Union de l'extrême droite,4,3,5
DSV,Droite souverainiste,4,3,5
REC,Reconquête,4,3,5
RN,Rassemblement National,4,3,5
EXD,Extrême droite,4,3,5
FN,Front National,4,3,5
